   11   13     0     0  con    0  1.0D+00  5.3D-01  1.039D-01  2.056D+00
   12   14     0     0  con    0  1.0D+00  2.8D-01  1.283D-01  2.055D+00
   13   15     0     0  con    0  1.0D+00  3.8D-02  2.619D-02  2.054D+00
   14   16     0     0  con    0  1.0D+00  1.1D-01  2.632D-02  2.054D+00
   15   17     0     0  con    0  1.0D+00  2.6D-01  1.787D-02  2.053D+00
   16   18     0     0  con    0  1.0D+00  4.7D-01  2.654D-02  2.052D+00
   17   19     0     0  con    0  1.0D+00  7.4D-01  1.396D-02  2.050D+00
   18   20     0     0  con    0  1.0D+00  5.2D-01  8.180D-02  2.050D+00
   19   22     0     0  con    1  5.0D-01  1.1D-01  4.812D-03  2.050D+00
   20   23     0     0  con    0  1.0D+00  4.3D-02  4.440D-03  2.050D+00
   21   24     0     0  con    0  1.0D+00  2.0D-01  3.195D-03  2.050D+00
   22   25     0     0  con    0  1.0D+00  8.3D-01  3.105D-03  2.049D+00
   23   27     0     0  con    1  3.3D-01  2.0D-01  4.032D-03  2.049D+00
   24   28     0     0  con    0  1.0D+00  7.7D-01  5.302D-03  2.049D+00
   25   29     0     0  con    0  1.0D+00  6.4D-01  1.139D-03  2.049D+00
   26   30     0     0  con    0  1.0D+00  9.3D-01  1.187D-03  2.049D+00
   27   31     0     0  con    0  1.0D+00  1.2D+00  1.384D-03  2.049D+00
   28   32     0     0  con    0  1.0D+00  1.2D+00  9.264D-04  2.049D+00
   29   33     0     0  con    0  1.0D+00  1.4D+00  9.568D-03  2.049D+00
   30   35     0     0  con    1  4.8D-01  1.3D+00  6.914D-03  2.049D+00
   31   36     0     0  con    0  1.0D+00  1.1D+00  2.878D-03  2.049D+00
   32   37     0     0  con    0  1.0D+00  2.0D+00  4.328D-04  2.049D+00
   33   38     0     0  con    0  1.0D+00  1.6D+00  5.301D-04  2.049D+00
   34   39     0     0  con    0  1.0D+00  2.8D+00  2.386D-03  2.049D+00
   35   40     0     0  con    0  1.0D+00  2.2D+00  7.533D-04  2.049D+00
   36   41     0     0  con    0  1.0D+00  2.0D+00  2.362D-04  2.049D+00
   37   42     0     0  con    0  1.0D+00  2.3D+00  4.567D-04  2.049D+00
   38   43     0     0  con    0  1.0D+00  6.1D+00  4.373D-04  2.049D+00
   39   45     0     0  con    1  1.3D-01  1.2D-01  5.471D-04  2.049D+00
   40   47     0     0  con    1  4.3D-01  4.4D-01  1.910D-04  2.049D+00
   41   50     0     0  con    2  4.2D-03  1.7D-01  9.632D-05  2.049D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.193D+02  3.493D+01
    1    2     1     0  ---    0  4.4D-03  1.0D+00  1.722D+00  2.758D+00
    2    4     0     0  con    1  5.0D+00  5.2D-02  1.462D+00  2.648D+00
    3    5     0     0  con    0  1.0D+00  2.8D-01  6.063D-01  2.294D+00
    4    6     0     0  con    0  1.0D+00  1.9D-01  3.200D-01  2.190D+00
    5    7     0     0  con    0  1.0D+00  2.2D-01  1.203D-01  2.130D+00
    6    8     0     0  con    0  1.0D+00  2.2D-01  7.813D-02  2.105D+00
    7    9     0     0  con    0  1.0D+00  2.7D-01  5.410D-02  2.088D+00
    8   10     0     0  con    0  1.0D+00  4.5D-01  6.089D-02  2.069D+00
    9   12     0     0  con    1  3.5D-01  3.3D-01  9.365D-02  2.060D+00
   10   13     0     0  con    0  1.0D+00  5.6D-01  2.905D-01  2.053D+00
   11   14     0     0  con    0  1.0D+00  9.5D-02  1.073D-01  2.048D+00
   12   15     0     0  con    0  1.0D+00  5.4D-02  4.766D-02  2.046D+00
   13   16     0     0  con    0  1.0D+00  2.3D-01  7.481D-02  2.044D+00
   14   17     0     0  con    0  1.0D+00  5.2D-02  3.119D-02  2.042D+00
   15   18     0     0  con    0  1.0D+00  1.2D-01  3.174D-02  2.041D+00
   16   19     0     0  con    0  1.0D+00  1.7D-01  5.434D-02  2.039D+00
   17   20     0     0  con    0  1.0D+00  4.9D-01  3.294D-02  2.037D+00
   18   21     0     0  con    0  1.0D+00  7.5D-01  1.779D-01  2.035D+00
   19   23     0     0  con    1  5.2D-01  2.8D-01  3.762D-02  2.035D+00
   20   24     0     0  con    0  1.0D+00  1.9D-01  3.553D-02  2.034D+00
   21   25     0     0  con    0  1.0D+00  4.4D-01  1.632D-02  2.034D+00
   22   26     0     0  con    0  1.0D+00  1.7D-01  9.418D-03  2.034D+00
   23   27     0     0  con    0  1.0D+00  3.3D-01  1.122D-02  2.034D+00
   24   28     0     0  con    0  1.0D+00  4.9D-01  1.174D-02  2.033D+00
   25   29     0     0  con    0  1.0D+00  1.2D+00  6.127D-03  2.033D+00
   26   30     0     0  con    0  1.0D+00  8.8D-01  3.694D-03  2.033D+00
   27   32     0     0  con    1  4.4D-01  2.7D-01  2.117D-03  2.033D+00
   28   33     0     0  con    0  1.0D+00  4.2D-01  4.064D-03  2.033D+00
   29   34     0     0  con    0  1.0D+00  7.3D-01  2.789D-03  2.033D+00
   30   36     0     0  con    1  3.1D-02  6.2D-02  1.290D-02  2.033D+00
   31   37     0     0  con    0  1.0D+00  1.1D+00  6.421D-03  2.033D+00
   32   38     0     0  con    0  1.0D+00  1.5D+00  8.052D-04  2.033D+00
   33   39     0     0  con    0  1.0D+00  1.5D+00  4.401D-04  2.033D+00
   34   40     0     0  con    0  1.0D+00  1.6D+00  7.716D-04  2.033D+00
   35   41     0     0  con    0  1.0D+00  2.4D+00  7.137D-04  2.033D+00
   36   42     0     0  con    0  1.0D+00  1.8D+00  4.024D-04  2.033D+00
   37   43     0     0  con    0  1.0D+00  2.2D+00  4.456D-04  2.033D+00
   38   44     0     0  con    0  1.0D+00  3.0D+00  7.823D-04  2.033D+00
   39   45     0     0  con    0  1.0D+00  2.9D+00  3.816D-04  2.033D+00
   40   46     0     0  con    0  1.0D+00  1.8D+00  2.021D-04  2.033D+00
   41   48     0     0  con    1  5.5D-02  2.5D-01  1.039D-03  2.033D+00
   42   49     0     0  con    0  1.0D+00  3.3D+00  5.084D-04  2.033D+00
   43   50     0     0  con    0  1.0D+00  2.8D+00  1.588D-04  2.033D+00
   44   52     0     0  con    1  5.0D+00  2.2D+01  9.583D-04  2.033D+00
   45   53     0     0  con    0  1.0D+00  6.2D+00  1.403D-04  2.033D+00
   46   54     0     0  con    0  1.0D+00  3.2D+00  1.395D-04  2.033D+00
   47   55     0     0  con    0  1.0D+00  1.0D+00  4.759D-05  2.033D+00
   48   56     0     0  con    0  1.0D+00  6.6D-01  3.498D-05  2.033D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.035D+02  3.244D+01
    1    2     1     0  ---    0  4.8D-03  1.0D+00  1.774D+00  2.812D+00
    2    4     0     0  con    1  5.0D+00  5.5D-02  1.500D+00  2.699D+00
    3    5     0     0  con    0  1.0D+00  3.2D-01  5.558D-01  2.297D+00
    4    6     0     0  con    0  1.0D+00  2.2D-01  2.662D-01  2.177D+00
    5    7     0     0  con    0  1.0D+00  2.5D-01  1.334D-01  2.112D+00
    6    8     0     0  con    0  1.0D+00  2.1D-01  7.666D-02  2.087D+00
    7    9     0     0  con    0  1.0D+00  2.5D-01  7.417D-02  2.076D+00
    8   10     0     0  con    0  1.0D+00  3.0D-01  4.595D-02  2.067D+00
    9   11     0     0  con    0  1.0D+00  1.5D-01  4.430D-02  2.063D+00
   10   12     0     0  con    0  1.0D+00  4.5D-01  1.403D-01  2.058D+00
   11   14     0     0  con    1  4.2D-01  2.7D-01  3.796D-02  2.054D+00
   12   15     0     0  con    0  1.0D+00  3.9D-01  1.260D-01  2.053D+00
   13   16     0     0  con    0  1.0D+00  3.1D-01  9.169D-02  2.052D+00
   14   17     0     0  con    0  1.0D+00  3.8D-02  1.698D-02  2.051D+00
   15   18     0     0  con    0  1.0D+00  1.3D-01  4.398D-02  2.051D+00
   16   19     0     0  con    0  1.0D+00  3.5D-01  5.841D-02  2.051D+00
   17   20     0     0  con    0  1.0D+00  4.7D-01  8.158D-02  2.050D+00
   18   21     0     0  con    0  1.0D+00  5.3D-01  5.127D-03  2.049D+00
   19   22     0     0  con    0  1.0D+00  7.4D-01  1.083D-02  2.049D+00
   20   23     0     0  con    0  1.0D+00  1.1D+00  5.543D-03  2.049D+00
   21   24     0     0  con    0  1.0D+00  3.2D+00  1.611D-02  2.048D+00
   22   26     0     0  con    1  3.5D-01  3.0D+00  3.432D-02  2.047D+00
   23   28     0     0  con    1  4.6D-01  2.6D+00  5.092D-02  2.047D+00
   24   30     0     0  con    1  4.1D-01  3.0D+00  6.465D-02  2.045D+00
   25   32     0     0  con    1  3.3D-01  3.0D+00  1.050D-01  2.043D+00
   26   34     0     0  con    1  3.3D-01  3.8D+00  5.005D-01  2.040D+00
   27   35     0     0  con    0  1.0D+00  6.7D+00  4.201D-01  2.034D+00
   28   37     0     0  con    1  2.6D-01  2.5D+00  3.892D-01  2.033D+00
   29   39     0     0  con    1  1.5D-01  1.5D+00  3.575D-01  2.033D+00
   30   40     0     0  con    0  1.0D+00  2.2D+00  2.937D-01  2.031D+00
   31   41     0     0  con    0  1.0D+00  7.7D+00  2.693D-01  2.028D+00
   32   42     0     0  con    0  1.0D+00  3.4D+00  1.309D-01  2.027D+00
   33   43     0     0  con    0  1.0D+00  2.2D+00  6.871D-02  2.027D+00
   34   44     0     0  con    0  1.0D+00  1.3D+00  3.596D-01  2.027D+00
   35   45     0     0  con    0  1.0D+00  1.8D+00  3.564D-02  2.027D+00
   36   46     0     0  con    0  1.0D+00  5.3D-01  2.572D-02  2.026D+00
   37   47     0     0  con    0  1.0D+00  2.1D+00  1.338D-02  2.025D+00
   38   48     0     0  con    0  1.0D+00  7.6D+00  2.839D-01  2.023D+00
   39   49     0     0  con    0  1.0D+00  1.5D+00  2.174D-02  2.023D+00
   40   50     0     0  con    0  1.0D+00  4.1D+00  1.238D-01  2.022D+00
   41   51     0     0  con    0  1.0D+00  3.2D+00  1.317D-01  2.022D+00
   42   52     0     0  con    0  1.0D+00  1.9D+00  1.024D-01  2.022D+00
   43   53     0     0  con    0  1.0D+00  4.1D-01  6.382D-03  2.022D+00
   44   54     0     0  con    0  1.0D+00  2.9D-02  1.794D-03  2.022D+00
   45   55     0     0  con    0  1.0D+00  8.4D-02  1.704D-04  2.022D+00
   46   56     0     0  con    0  1.0D+00  6.2D-03  1.921D-04  2.022D+00
   47   59     0     0  con    2  7.5D-02  8.2D-03  7.084D-04  2.022D+00
   48   68     0     0  con    8  1.3D-05  9.4D-08  7.084D-04  2.022D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.221D+02  3.539D+01
    1    2     1     0  ---    0  4.4D-03  1.0D+00  1.750D+00  2.777D+00
    2    4     0     0  con    1  5.0D+00  5.3D-02  1.482D+00  2.662D+00
    3    5     0     0  con    0  1.0D+00  2.8D-01  6.087D-01  2.295D+00
    4    6     0     0  con    0  1.0D+00  1.8D-01  3.250D-01  2.190D+00
    5    7     0     0  con    0  1.0D+00  2.2D-01  1.249D-01  2.131D+00
    6    8     0     0  con    0  1.0D+00  2.2D-01  8.754D-02  2.106D+00
    7    9     0     0  con    0  1.0D+00  2.8D-01  5.946D-02  2.093D+00
    8   10     0     0  con    0  1.0D+00  1.5D-01  7.021D-02  2.086D+00
    9   11     0     0  con    0  1.0D+00  3.9D-01  7.667D-02  2.072D+00
   10   12     0     0  con    0  1.0D+00  2.8D-01  7.781D-02  2.062D+00
   11   14     0     0  con    1  1.8D-01  1.6D-01  1.315D-01  2.058D+00
   12   15     0     0  con    0  1.0D+00  4.5D-01  1.425D-01  2.048D+00
   13   16     0     0  con    0  1.0D+00  4.7D-02  1.135D-01  2.047D+00
   14   17     0     0  con    0  1.0D+00  3.8D-02  4.759D-02  2.045D+00
   15   18     0     0  con    0  1.0D+00  3.0D-01  1.441D-01  2.042D+00
   16   19     0     0  con    0  1.0D+00  2.1D-01  1.189D-01  2.040D+00
   17   20     0     0  con    0  1.0D+00  5.9D-01  4.606D-02  2.037D+00
   18   21     0     0  con    0  1.0D+00  5.4D-01  7.412D-02  2.035D+00
   19   22     0     0  con    0  1.0D+00  3.8D-01  2.124D-02  2.035D+00
   20   23     0     0  con    0  1.0D+00  3.6D-01  2.204D-02  2.035D+00
   21   24     0     0  con    0  1.0D+00  7.2D-01  1.196D-02  2.034D+00
   22   25     0     0  con    0  1.0D+00  7.5D-01  9.910D-03  2.033D+00
   23   26     0     0  con    0  1.0D+00  7.7D-01  5.275D-03  2.033D+00
   24   27     0     0  con    0  1.0D+00  9.6D-01  9.628D-03  2.033D+00
   25   28     0     0  con    0  1.0D+00  5.7D-01  3.709D-03  2.033D+00
   26   29     0     0  con    0  1.0D+00  1.2D+00  3.540D-03  2.033D+00
   27   30     0     0  con    0  1.0D+00  1.1D+00  6.192D-03  2.033D+00
   28   31     0     0  con    0  1.0D+00  1.4D+00  2.003D-03  2.033D+00
   29   32     0     0  con    0  1.0D+00  1.5D+00  5.953D-03  2.033D+00
   30   33     0     0  con    0  1.0D+00  2.3D+00  1.345D-02  2.033D+00
   31   34     0     0  con    0  1.0D+00  1.8D+00  5.225D-03  2.033D+00
   32   35     0     0  con    0  1.0D+00  3.3D+00  2.922D-03  2.033D+00
   33   36     0     0  con    0  1.0D+00  4.8D+00  4.879D-03  2.033D+00
   34   37     0     0  con    0  1.0D+00  1.2D+01  7.811D-03  2.033D+00
   35   38     0     0  con    0  1.0D+00  6.9D+01  1.935D-02  2.033D+00
   36   39     0     0  con    0  1.0D+00  5.5D+01  2.119D-02  2.032D+00
   37   40     0     0  con    0  1.0D+00  7.3D+01  9.019D-02  2.032D+00
   38   41     0     0  con    0  1.0D+00  6.7D+01  5.078D-02  2.031D+00
   39   44     0     0  con    2  9.4D-02  3.9D+01  4.456D-02  2.031D+00
   40   46     0     0  con    1  3.8D-01  7.6D+01  1.182D-01  2.030D+00
   41   48     0     0  con    1  5.0D-01  5.2D+01  2.571D-01  2.029D+00
   42   49     0     0  con    0  1.0D+00  6.7D+01  4.369D-02  2.027D+00
   43   51     0     0  con    1  2.6D-01  5.5D+01  1.646D-01  2.027D+00
   44   52     0     0  con    0  1.0D+00  1.6D+02  3.314D-01  2.025D+00
   45   53     0     0  con    0  1.0D+00  5.1D+00  1.262D-01  2.022D+00
   46   54     0     0  con    0  1.0D+00  8.3D+01  7.586D-01  2.021D+00
   47   56     0     0  con    1  5.2D-01  7.8D+01  1.763D-01  2.019D+00
   48   57     0     0  con    0  1.0D+00  2.4D+00  2.505D-01  2.018D+00
   49   58     0     0  con    0  1.0D+00  1.4D+01  2.180D-01  2.018D+00
   50   59     0     0  con    0  1.0D+00  1.2D+01  3.402D-02  2.018D+00
   51   60     0     0  con    0  1.0D+00  9.6D+00  2.599D-02  2.018D+00
   52   61     0     0  con    0  1.0D+00  1.1D+02  1.303D-01  2.017D+00

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.956D+02  4.700D+01
    1    2     1     0  ---    0  3.3D-03  1.0D+00  2.743D+00  3.427D+00
    2    4     0     0  con    1  5.0D+00  5.7D-02  2.328D+00  3.246D+00
    3    5     0     0  con    0  1.0D+00  3.3D-01  9.470D-01  2.619D+00
    4    6     0     0  con    0  1.0D+00  2.4D-01  4.946D-01  2.410D+00
    5    7     0     0  con    0  1.0D+00  2.9D-01  2.078D-01  2.284D+00
    6    8     0     0  con    0  1.0D+00  2.7D-01  1.030D-01  2.226D+00
    7    9     0     0  con    0  1.0D+00  3.7D-01  8.838D-02  2.184D+00
    8   10     0     0  con    0  1.0D+00  7.9D-01  1.067D-01  2.132D+00
    9   11     0     0  con    0  1.0D+00  7.4D-01  8.287D-02  2.093D+00
   10   13     0     0  con    1  4.5D-01  7.6D-01  5.592D-02  2.073D+00
   11   14     0     0  con    0  1.0D+00  3.1D-01  3.374D-02  2.068D+00
   12   15     0     0  con    0  1.0D+00  8.1D-02  1.458D-02  2.067D+00
   13   16     0     0  con    0  1.0D+00  2.9D-01  4.538D-03  2.065D+00
   14   17     0     0  con    0  1.0D+00  3.5D-01  3.292D-03  2.064D+00
   15   18     0     0  con    0  1.0D+00  3.9D-01  6.560D-03  2.063D+00
   16   19     0     0  con    0  1.0D+00  6.4D-01  3.328D-03  2.062D+00
   17   20     0     0  con    0  1.0D+00  7.4D-01  1.705D-03  2.061D+00
   18   21     0     0  con    0  1.0D+00  6.9D-01  5.666D-04  2.061D+00
   19   22     0     0  con    0  1.0D+00  5.9D-01  8.635D-04  2.061D+00
   20   23     0     0  con    0  1.0D+00  9.6D-01  6.140D-04  2.061D+00
   21   24     0     0  con    0  1.0D+00  1.0D+00  4.349D-03  2.061D+00
   22   25     0     0  con    0  1.0D+00  9.9D-01  1.169D-03  2.061D+00
   23   26     0     0  con    0  1.0D+00  1.1D+00  6.407D-04  2.061D+00
   24   27     0     0  con    0  1.0D+00  1.8D+00  1.268D-03  2.061D+00
   25   28     0     0  con    0  1.0D+00  1.8D+00  1.295D-03  2.061D+00
   26   29     0     0  con    0  1.0D+00  9.0D-01  5.329D-04  2.061D+00
   27   30     0     0  con    0  1.0D+00  2.1D+00  8.556D-05  2.061D+00
   28   31     0     0  con    0  1.0D+00  2.1D+00  4.934D-05  2.061D+00
   29   32     0     0  con    0  1.0D+00  3.3D+00  2.122D-04  2.061D+00
   30   33     0     0  con    0  1.0D+00  1.8D+00  3.306D-05  2.061D+00
   31   34     0     0  con    0  1.0D+00  3.5D+00  1.301D-04  2.061D+00
   32   35     0     0  con    0  1.0D+00  2.5D+00  9.737D-05  2.061D+00
   33   37     0     0  con    1  1.5D-01  1.6D+00  1.881D-04  2.061D+00
   34   38     0     0  con    0  1.0D+00  3.1D+00  1.978D-04  2.061D+00
   35   39     0     0  con    0  1.0D+00  2.3D+00  1.342D-04  2.061D+00
   36   40     0     0  con    0  1.0D+00  1.9D+00  7.526D-06  2.061D+00

CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL            

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.269D+02  5.195D+01
    1    2     1     0  ---    0  3.0D-03  1.0D+00  2.681D+00  3.356D+00
    2    4     0     0  con    1  5.0D+00  5.3D-02  2.293D+00  3.183D+00
    3    5     0     0  con    0  1.0D+00  2.9D-01  1.024D+00  2.624D+00
    4    6     0     0  con    0  1.0D+00  2.1D-01  5.693D-01  2.435D+00
    5    7     0     0  con    0  1.0D+00  2.8D-01  2.416D-01  2.309D+00
    6    8     0     0  con    0  1.0D+00  2.9D-01  1.071D-01  2.247D+00
    7    9     0     0  con    0  1.0D+00  3.9D-01  8.260D-02  2.202D+00
    8   10     0     0  con    0  1.0D+00  7.3D-01  1.139D-01  2.153D+00
    9   11     0     0  con    0  1.0D+00  6.8D-01  1.205D-01  2.113D+00
   10   12     0     0  con    0  1.0D+00  1.6D+00  1.329D-01  2.071D+00
   11   13     0     0  con    0  1.0D+00  2.8D-01  4.116D-02  2.057D+00
   12   14     0     0  con    0  1.0D+00  5.8D-02  1.466D-02  2.055D+00
   13   15     0     0  con    0  1.0D+00  1.7D-01  1.359D-02  2.054D+00
   14   16     0     0  con    0  1.0D+00  3.1D-01  1.115D-02  2.053D+00
   15   17     0     0  con    0  1.0D+00  6.0D-01  2.626D-02  2.051D+00
   16   18     0     0  con    0  1.0D+00  5.3D-01  6.656D-03  2.050D+00
   17   19     0     0  con    0  1.0D+00  8.4D-02  3.346D-03  2.050D+00
   18   20     0     0  con    0  1.0D+00  1.7D-01  1.255D-03  2.050D+00
   19   21     0     0  con    0  1.0D+00  7.7D-02  1.315D-03  2.050D+00
